Manufacturer,Model,Gen.,Year,Year-Format,Width,Height,Cells,Type,Velocity,Display,Add. Buttons,Add. Misc UI,Tesselation
Samson,Conspiracy,1,2015,2015-01-01,5,5,25,Controller,Yes,Yes,Yes,Yes,r
CodaNova,VMX V64,1,2011,2011-01-01,16,4,64,Controller,No,No,Yes,Yes,r
Synthstrom,Deluge,1,2016,2016-01-01,16,8,128,Instrument,No,Yes,Yes,Yes,r
Dreadbox,Medusa,1,2017,2017-01-01,8,8,64,Instrument,Yes,Yes,Yes,Yes,r
Elektron,Analog Rytm,1,2014,2014-01-01,4,3,12,Instrument,Yes,Yes,Yes,Yes,r
Elektron,Analog Rytm,2,2017,2017-01-01,4,3,12,Instrument,Yes,Yes,Yes,Yes,r
Elektron,Digitakt,1,2017,2017-01-01,8,2,16,Instrument,No,Yes,Yes,Yes,r
Elektron,Digitone,1,2018,2018-01-01,8,2,16,Instrument,No,Yes,Yes,Yes,r
Roland,MC707,1,2019,2019-01-01,8,2,16,Instrument,Yes,Yes,Yes,Yes,r
Roland,MC101,1,2019,2019-01-01,8,2,16,Instrument,No,Yes,Yes,Yes,r
Roland,SP-808,1,1998,1998-01-01,4,4,16,Instrument,No,Yes,Yes,Yes,r
Roland,Fantom S,1,2003,2003-01-01,4,4,16,Instrument,Yes,Yes,Yes,Yes,r
Roland,Fa-06,1,2014,2014-01-01,4,4,16,Instrument,Yes,Yes,Yes,Yes,r
Roland,VERSELAB MV-01,1,2021,2021-01-01,4,4,16,Instrument,Yes,Yes,Yes,Yes,r
Boss,SP-505,1,2002,2002-01-01,8,2,16,Instrument,No,Yes,Yes,Yes,r
Boss,SP-202,1,1998,1998-01-01,4,2,8,Instrument,No,Yes,Yes,Yes,r
Boss,SP-303,1,2001,2001-01-01,4,2,8,Instrument,No,Yes,Yes,Yes,r
Boss,SP-404,1,2005,2005-01-01,4,3,12,Instrument,No,Yes,Yes,Yes,r
Boss,SP-404SX,2,2009,2009-01-01,4,3,12,Instrument,No,Yes,Yes,Yes,r
Boss,SP-404A,3,2017,2017-01-01,4,3,12,Instrument,No,Yes,Yes,Yes,r
ASM,Hydrasynth,1,2019,2019-01-01,8,3,23,Instrument,Yes,Yes,Yes,Yes,r
Korg,Electribe,1,2014,2014-01-01,8,2,16,Instrument,Yes,Yes,Yes,Yes,r
Korg,Electribe Sampler,1,2014,2014-01-01,8,2,16,Instrument,Yes,Yes,Yes,Yes,r
